32	1095	517093	12.10	1	2.544
33	1336147	2123561	873.40	111	40.921
34	295387	1123294	322.13	40	56.524
35	592362	1652895	361.69	45	47.831
36	56370	708121	77.34	9	14.918
37	15500	216275	27.24	2	24.004
38	9965	181042	26.30	2	6.401
39	18673	252894	30.34	2	56.601
40	4251	191055	25.86	2	7.747
41	113392	413856	77.78	8	23.338
42	2124	112101	30.96	2	24.544
43	16798	143529	28.93	2	31.339
44	136	193755	21.25	1	41.168
45	191	113852	22.18	1	25.425
46	1075	98814	31.52	2	28.254
47	18425	15037301	237.41	27	37.299
48	14	103437	22.20	1	17.064
49	117	193655	30.42	1	46.940
50	28	65607	32.53	2	16.021
